page,section_title,text
Robert Habeck,Schulbildung und Studium,"Habeck wurde als Sohn von Hermann Habeck und dessen Frau Hildegard, geb. Granzow, in Lübeck geboren und wuchs in Heikendorf bei Kiel auf, wo seine Eltern eine Apotheke betrieben. Er spielte bis zu seinem 16. Lebensjahr Fußball beim Heikendorfer SV. Er legte sein Abitur 1989 an der Heinrich-Heine-Schule in Heikendorf ab. Nach eigenen Angaben litt Habeck als Schüler unter Rechtschreibschwäche mit Tendenz zur Legasthenie. Nach dem Zivildienst beim damaligen Hamburger Spastikerverein (heute Leben mit Behinderung Hamburg Elternverein) begann er zum Sommersemester 1991 ein Magisterstudium mit der Fächerkombination Germanistik, Philosophie und Philologie an der Albert-Ludwigs-Universität in Freiburg im Breisgau und besuchte nach der Zwischenprüfung im Wintersemester 1992/93 die Universität Roskilde in Dänemark. Nach Habecks Angaben war das Hochschulsystem dort, verglichen mit seinem Studium in Deutschland, durch selbstständigere Zeiteinteilung, ausgeprägtere Gruppenarbeit und eigenständigere Wissenssuche geprägt, was ihn bei der Entwicklung seines „pragmatischen Idealismus“ beeinflusst habe. Auch politisch habe ihn die Zeit in Roskilde geprägt.
Im Jahre 1996 erwarb Robert Habeck an der Universität Hamburg seinen Magisterabschluss mit einer Abhandlung zu den Gedichten von Casimir Ulrich Boehlendorff (1775–1825), über die er ein Jahr später im Verlag Königshausen & Neumann eine stilkritische Untersuchung veröffentlichte. Von 1996 bis 1998 absolvierte er an der Universität Hamburg ein Promotionsstudium. Im Jahre 2000 wurde er mit einer literaturwissenschaftlichen Arbeit über die unterschiedlichen Darstellungsformen in Literatur und digitalen Medien zum Dr. phil. promoviert. Betreuer waren Ulrich Wergin und Gunter Martens. Diese Arbeit ist unter dem Titel Die Natur der Literatur. Zur gattungstheoretischen Begründung literarischer Ästhetizität ebenfalls im Verlag Königshausen & Neumann erschienen. Die Dissertation wurde nach dem Hamburger Gesetz zur Förderung des wissenschaftlichen und künstlerischen Nachwuchses von Oktober 1996 bis September 1998 mit einem Stipendium gefördert."
Robert Habeck,Literarische Tätigkeit,"Seit 1999 arbeiten Robert Habeck und seine Ehefrau Andrea Paluch als freie Schriftsteller und veröffentlichen gemeinsam. In Interviews betonen sie, dass ihre doppelte Autorenschaft eine bewusste Entscheidung für einen gemeinsamen Lebensentwurf sei. Neben Kinderbüchern und Übersetzungen englischer Lyrik unter anderem von Ted Hughes veröffentlichte Robert Habeck (mit Andrea Paluch) die Romane Hauke Haiens Tod (2001, eine literarische Adaption von Storms Novelle Der Schimmelreiter, die 2023 mit Die Flut – Tod am Deich von Andreas Prochaska verfilmt wurde), Der Schrei der Hyänen (2004), Der Tag, an dem ich meinen toten Mann traf (2005), Zwei Wege in den Sommer (2006), Unter dem Gully liegt das Meer (2007) und SommerGIG (2009). Im Dezember 2008 wurde im Theater Kiel das erste Theaterstück der beiden uraufgeführt. Es hat den Titel Neunzehnachtzehn und handelt vom Kieler Matrosenaufstand im November 1918. Der Roman Der Tag, an dem ich meinen toten Mann traf wurde 2008 verfilmt. 2021 schrieb Habeck das Nachwort zur Neuausgabe des Buchs Das Prinzip Verantwortung von Hans Jonas."
Robert Habeck,Medienauftritt,"Im Januar 2019 nahm Habeck in seiner Rolle als Co-Bundesvorsitzender der Grünen einen Videoclip mit einem Aufruf zur Landtagswahl in Thüringen am 27. Oktober 2019 auf. Adressat des Clips waren die Wahlkämpfenden im Grünen-Landesverband Thüringen. In dem Clip sagte er unter anderem: „Wir versuchen, alles zu machen, damit Thüringen ein offenes, freies, liberales, demokratisches Land wird, ein ökologisches Land.“ Der Landesverband veröffentlichte das Video auf Twitter. Habeck sagte „wird“ statt „bleibt“ (was offenbar gemeint war); dadurch entstand der Eindruck, Thüringen sei kein demokratisches Land. Die Thüringer Grünen reagierten rasch und schrieben zur Erklärung: „Wir haben Robert Habecks Aufruf vom Netz genommen, weil viele ihn falsch verstanden haben.“
Vor der Landtagswahl in Bayern im Oktober 2018 rief Habeck unter anderem dazu auf, die „Alleinherrschaft“ der CSU zu beenden. Auch dafür wurde er öffentlich kritisiert. Er bat hierzu um Entschuldigung und kündigte an, sich von den Plattformen Twitter und Facebook zurückzuziehen. 2024 wandte sich Habeck wieder den Sozialen Medien zu. Er eröffnete Accounts auf TikTok und X.
Am 12. Februar 2025, im Vorfeld der Bundestagswahl 2025, war Habeck als Kanzlerkandidat seiner Partei bei Stefan Raab in der Show Du gewinnst hier nicht die Million zu Gast."
Robert Habeck,Privates,"Als Jugendlicher sammelte Robert Habeck Briefmarken (Philatelist) und war von 1983 bis 1991 Mitglied in der Arbeitsgemeinschaft Brasilien im Bund Deutscher Philatelisten.
1996 heirateten Robert Habeck und die Schriftstellerin Andrea Paluch. Seine Ehefrau hatte er während des Studiums in Roskilde kennengelernt. Habeck spricht fließend Dänisch. Das Ehepaar hat vier Söhne. Die Söhne haben einen engen Bezug zur dänischen Minderheit in Deutschland, sprechen Dänisch untereinander und studieren (Stand: 2021) alle in Dänemark. Im Jahr 1999 zog die Familie nach Lüneburg und 2001 nach Großenwiehe nahe Flensburg. Später zog die Familie direkt nach Flensburg. Habeck trat aus der evangelischen Kirche aus und leistete seinen Amtseid als Minister ohne Gottesbezug. Seit dem Besuch eines Schlachthofes im Jahr 2013 in seiner damaligen Funktion als schleswig-holsteinischer Landwirtschaftsminister ist Habeck Vegetarier.

Im Juni 2024 äußerte Habeck in einem Interview, dass er sich bereits als Jugendlicher intensiv mit der Geschichte seiner Familie und auch mit der Schuld seines Urgroßvaters Walter Granzow (SS-Brigadeführer) und seines Großvaters Kurt Granzow (SA-Obersturmführer) in der Zeit des Nationalsozialismus auseinandergesetzt habe. „Diese persönliche Auseinandersetzung hat mein politisches Denken, Handeln und Reden mitgeprägt und nimmt mich bis heute in die politische Pflicht.“"
Robert Habeck,Auszeichnungen,"1996: Preis für literarische Übersetzungen der Stadt Hamburg (zusammen mit Andrea Paluch)
2002: Drehbuchpreis des Landes Schleswig-Holstein (zusammen mit Andrea Paluch)
März 2007: Nominierung von Zwei Wege in den Sommer für den Deutschen Jugendbuchpreis
Juli 2007: Buch des Monats auf der Deutschlandfunk-Bestenliste Neue Kinder- und Jugendbücher „Die besten 7 für junge Leser“
Dezember 2008: Goldener Lufti für Unter dem Gully liegt das Meer (zusammen mit Andrea Paluch)
2018: Politikaward des Spartenmagazins Politik & Kommunikation (Politiker des Jahres)
2023: Ludwig-Börne-Preis (Rede zur Verleihung in der FAZ vom 12. Juni 2023)
2023: Energieküste-Award (verliehen von seinem Bruder Hinrich auf der Hannover-Messe)
2023: Rede des Jahres (für seine Video-Ansprache zu Israel und Antisemitismus)"
Robert Habeck,Rezeption,"Radio-Feature

Stefan Berkholz: „Es geht nicht darum, sich abzuhärten“ – Robert Habeck: Vom Schriftsteller zum Politiker. SWR2, 1. September 2019.
Literatur

Claudia Reshöft: Robert Habeck. Eine exklusive Biographie. FinanzBuch Verlag, München 2020, ISBN 978-3-95972-291-9.
Susanne Gaschke: Robert Habeck. Eine politische Biografie. Wilhelm Heyne Verlag, München 2021, ISBN 978-3-453-21806-2.
Stefan Berkholz: Das ganze Ding ist ein Risiko: Robert Habeck – Eine Nahaufnahme. Blessing, München 2021, ISBN 978-3-89667-673-3.
Julian Müller, Astrid Séville: Ist Dauerreflexion kommunizierbar? Das Habeck-Paradox. Merkur, 1. Februar 2022, Gewinnertext des Essay-Preisausschreibens „Das Habeck-Paradox“
Dokumentarfilme

Baerbock und Habeck – Kurs aufs Kanzleramt? von Falko Korth und Reinhold Beckmann, NDR Fernsehen 2020.
Konfrontation: Markus Feldenkirchen trifft Robert Habeck, von Markus Feldenkirchen, WDR Fernsehen, 2021.
Parodien

Max Giermann in der Sendung Extra 3
Micky Beisenherz im Podcast Apokalypse & Filterkaffee"
Robert Habeck,Summary,"Robert Habeck (* 2. September 1969 in Lübeck) ist ein deutscher Politiker (Bündnis 90/Die Grünen) und Schriftsteller. Er ist seit Dezember 2021 der Stellvertreter des Bundeskanzlers sowie Bundesminister für Wirtschaft und Klimaschutz der Bundesrepublik Deutschland. Gemeinsam mit Annalena Baerbock war er von Januar 2018 bis Februar 2022 Bundesvorsitzender der Partei Bündnis 90/Die Grünen. Für die Bundestagswahl 2021 waren Baerbock und er das Spitzenduo der Grünen, wobei Baerbock Kanzlerkandidatin war. Am 17. November 2024 wurde er zum Kanzlerkandidaten für die Bundestagswahl 2025 gewählt. Habeck zog 2009 erstmals in den Schleswig-Holsteinischen Landtag ein und wurde dort Fraktionsvorsitzender. Bei der vorgezogenen Neuwahl 2012 und bei der Landtagswahl 2017 trat er als Zweiter auf der Landesliste seiner Partei an. Von 2012 bis 2018 amtierte er als stellvertretender Ministerpräsident und Minister für Energiewende, Landwirtschaft, Umwelt und Natur (ab 2017 auch für Digitalisierung) im Kabinett Albig sowie im Kabinett Günther I. Bei der Bundestagswahl 2021 errang er für die Grünen das Direktmandat im Wahlkreis Flensburg-Schleswig mit 28,1 Prozent der Erststimmen, was ihm 2025 nicht wieder gelang."
Friedrich Merz,Tätigkeiten in der Wirtschaft und bei Organisationen,"Im Jahr 2005 wurde Merz Partner in der Rechtsanwaltskanzlei Mayer Brown, in deren Düsseldorfer Büro er ab 2014 als Senior Counsel tätig war. Merz vertrat als Mitarbeiter der Sozietät und gleichzeitiger Bundestagsabgeordneter 2006 die Interessen der RAG Aktiengesellschaft im Bundestag, als sie den Börsengang plante, was nach Bekanntwerden für öffentliche Empörung sorgte. Neben seinen Tätigkeiten als Anwalt gehörte Merz zudem folgenden Aufsichtsräten, Beiräten und Verwaltungsräten an:

DBV-Winterthur Holding
Alba / Interseroh
Commerzbank (bis Ende 2009)
IVG Immobilien (bis Mai 2010)
AXA Konzern (bis Juni 2014)
BASF Antwerpen N. V. (bis Juni 2014)
Borussia Dortmund (bis Juni 2014)
Deutsche Börse (bis Mai 2015)
Stadler Rail (bis April 2020)
Flughafen Köln/Bonn (2017 bis 2020) bis Ende 2020
WEPA Industrieholding (2009 bis 2021)
BlackRock Asset Management Deutschland (Aufsichtsratsvorsitz von 2016 bis 2020)
2010 wurde Merz als Nachfolger des verstorbenen Otto Graf Lambsdorff (FDP) in den Verwaltungsrat von HSBC Trinkaus & Burkhardt, einer Tochtergesellschaft der chinesisch-britischen Grossbank HSBC (Hongkong and Shanghai Banking Corporation), berufen. Im gleichen Jahr wurde Merz zusätzlich vom Bankenrettungsfonds Soffin damit beauftragt, den Verkaufsprozess der WestLB an einen privaten Investor zu leiten. Im Juni 2010 wurde er in den Aufsichtsrat von HSBC Trinkaus & Burkhardt gewählt. Nach Beginn der Verhandlungen über einen Teilverkauf der WestLB mit HSBC Trinkaus & Burkhardt endete seine Tätigkeit Mitte Mai 2011. Einige Medien vermuteten einen Interessenkonflikt wegen seiner Mitgliedschaft im HSBC-Aufsichtsrat, was Merz zurückwies. Merz soll nach unbestätigten Medienberichten ein Tageshonorar von 5000 Euro erhalten haben. Dem Bundesverband Deutscher Unternehmensberater (BDU) zufolge sei ein derartiger Tagessatz nicht völlig unüblich, aber „an der oberen Grenze“. In den Medien wurde er für seinen Millionenverdienst von Frontal21 stark kritisiert, da er 5000 Euro pro Tag auch samstags und sonntags (insgesamt 1.980.000 Euro für 396 Tage) für „erfolglose Arbeit“ vom Steuerzahler erhielt. Als Merz 2018 für den Parteivorsitz der CDU kandidierte, wurde ein möglicher Interessenkonflikt wegen seines Aufsichtsratsmandats bei BlackRock diskutiert. Merz beendete es Ende März 2020, um sich zeitlich mehr politisch zu betätigen. Im Jahr 2021 kündigte Merz an, keinen „beruflichen Tätigkeiten außerhalb der Politik“ mehr nachgehen zu wollen, sollte er erneut in den Bundestag einziehen.
Merz ist seit 1977 Mitglied der katholischen Studentenverbindung KDStV Bavaria Bonn im CV und Mitglied in folgenden Organisationen: Rotary Club Arnsberg, Deutscher Anwaltverein (DAV), Deutsch-Amerikanische Juristen-Vereinigung (DAJV), Frankfurter Zukunftsrat, Trilaterale Kommission, Deutsche Nationalstiftung und Atlantik-Brücke.
Merz war 2005 Gründungsmitglied und bis zur Auflösung 2014 Mitglied des Fördervereins der Lobbyorganisation Initiative Neue Soziale Marktwirtschaft.
Zwischen 2019 und 2021 war Merz Vizepräsident des CDU-nahen Berufsverbands Wirtschaftsrat der CDU. Anlässlich des 50. Geburtstags von Friedrich Merz im Jahr 2005 gründete das Ehepaar Merz die Friedrich und Charlotte Merz-Stiftung, deren Vorstand beide angehören. Die Stiftung unterstützt gemeinnützige Projekte im Bildungswesen, die in der Stadt Arnsberg ansässig sind. Der Kapitalgrundstock betrug zunächst 10.000 Euro, 2016 erfolgte eine Zustiftung von 371.900 Euro."
Friedrich Merz,Privates,"Merz lebt in Arnsberg-Niedereimer. Er ist seit 1981 mit Charlotte Merz (* 1961 als Charlotte Gass) verheiratet, die Richterin und Direktorin des Amtsgerichts Arnsberg ist. Mit ihr hat er einen Sohn und zwei Töchter."
Friedrich Merz,Schriften (Auswahl),"mit Michael Glos: Soziale Marktwirtschaft im 21. Jahrhundert. Antworten der Wirtschafts-, Finanz- und Sozialpolitik auf die neuen Herausforderungen. Olzog, München 2001, ISBN 3-7892-8083-6.
Mut zur Zukunft. Wie Deutschland wieder an die Spitze kommt. Goldmann, München 2002, ISBN 3-442-15218-6.
Nur wer sich ändert, wird bestehen. Vom Ende der Wohlstandsillusion – Kursbestimmung für unsere Zukunft. Herder, Freiburg im Breisgau 2004, ISBN 3-451-05671-2.
Wachstumsmotor Gesundheit – Die Zukunft unseres Gesundheitswesens. Hanser, München 2008, ISBN 978-3-446-41456-3.
Mehr Kapitalismus wagen – Wege zu einer gerechten Gesellschaft. Piper, München 2008, ISBN 978-3-492-05157-6.
Was ist gerecht? Denkanstöße 2010, Seite 115–126, Ein Lesebuch aus Philosophie, Kultur und Wissenschaft, herausgegeben von Lilo Göttermann, Piper, München 2010, ISBN 978-3-492-25419-9.
mit Wolfgang Clement: Was jetzt zu tun ist: Deutschland 2.0. Herder, Freiburg 2010, ISBN 978-3-451-30252-7.
Neue Zeit. Neue Verantwortung. Demokratie und Soziale Marktwirtschaft im 21. Jahrhundert. Econ, Berlin 2020, ISBN 978-3-430-21044-7."
Friedrich Merz,Auszeichnungen,"2006: Dolf-Sternberger-Preis
2006: Orden wider den tierischen Ernst des Aachener Karnevalsvereins
2016: Lucius-D.-Clay-Medaille
Im Jahre 2018 lehnte Merz den ihm von der Ludwig-Erhard-Stiftung verliehenen Ludwig-Erhard-Preis ab. Er begründete dies mit den seiner Meinung nach rechtspopulistischen publizistischen Tätigkeiten des Vorstandsvorsitzenden der Stiftung, Roland Tichy."
Friedrich Merz,Literatur,"Jutta Falke-Ischinger, Daniel Goffart: Der Unbeugsame. Friedrich Merz, die Union und der Kampf um die Macht. Langen Müller, München 2022, ISBN 978-3-7844-3642-5.
Volker Resing: Friedrich Merz. Sein Weg zur Macht. Herder, Freiburg im Breisgau 2025, ISBN 978-3451072413.
Sara Sievert: Der Unvermeidbare. Ein Blick hinter die Kulissen der Union. Rowohlt, Hamburg 2025, ISBN 978-3498007218.
Mariam Lau: Merz. Eine neue konservative Politik im Zeitalter der Autoritären. Ullstein, Berlin 2025, ISBN 978-3-550-20400-5."
Friedrich Merz,Summary,"Joachim-Friedrich Martin Josef Merz (* 11. November 1955 in Brilon) ist ein deutscher Politiker (CDU). Er ist seit 2022 Bundesvorsitzender der CDU sowie Fraktionsvorsitzender der CDU/CSU-Bundestagsfraktion und somit Oppositionsführer im 20. Deutschen Bundestag. Von 1989 bis 1994 gehörte Merz dem Europäischen Parlament an. Er war zwischen 1994 und 2009 und ist seit 2021 Mitglied des Deutschen Bundestages, wobei er bereits 2000 bis 2002 erstmals Vorsitzender der CDU/CSU-Bundestagsfraktion und damit auch Oppositionsführer war. Anschließend war Merz als Lobbyist und Rechtsanwalt tätig. Merz wurde im September 2024 Kanzlerkandidat der CDU/CSU für die Bundestagswahl 2025, aus der die Union als stärkste Fraktion hervorging."
